hierarchyId	pCFID	name	verb	object	filePath
8.7.5.8	20902	Coordinate with external support providers	Coordinate	With External Support Providers	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.5-DefineServiceSupportPlanning/20902-CoordinateWithExternalSupportProviders.mdx
8.7.5.9	20903	Triage IT service delivery incidents	Triage	IT Service Delivery Incidents	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.5-DefineServiceSupportPlanning/20903-TriageItServiceDeliveryIncidents.mdx
8.7.5.10	20904	Monitor IT service support performance	Monitor	IT Service Support Performance	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.5-DefineServiceSupportPlanning/20904-MonitorItServiceSupportPerformance.mdx
8.7.6	20905	Develop and manage service delivery operations	Develop	And Manage Service Delivery Operations	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.6-DevelopAndManageServiceDeliveryOperations/index.mdx
8.7.6.1	20906	Operate and monitor online systems	Operate	And Monitor Online Systems	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.6-DevelopAndManageServiceDeliveryOperations/20906-OperateAndMonitorOnlineSystems.mdx
8.7.6.2	20907	Run and monitor batch job schedule	Run	And Monitor Batch Job Schedule	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.6-DevelopAndManageServiceDeliveryOperations/20907-RunAndMonitorBatchJobSchedule.mdx
8.7.6.3	20908	Manage service delivery workloads	Manage	Service Delivery Workloads	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.6-DevelopAndManageServiceDeliveryOperations/20908-ManageServiceDeliveryWorkloads.mdx
8.7.6.4	20909	Manage infrastructure performance and capacity	Manage	Infrastructure Performance And Capacity	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.6-DevelopAndManageServiceDeliveryOperations/20909-ManageInfrastructurePerformanceAndCapacity.mdx
8.7.6.5	20910	Respond to unplanned operational issues	Respond	To Unplanned Operational Issues	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.6-DevelopAndManageServiceDeliveryOperations/20910-RespondToUnplannedOperationalIssues.mdx
8.7.6.6	20911	Produce and distribute output media	Produce	And Distribute Output Media	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.6-DevelopAndManageServiceDeliveryOperations/20911-ProduceAndDistributeOutputMedia.mdx
