hierarchyId	pCFID	name	verb	object	filePath
9.9.2.6	10935	Monitor tax compliance	Monitor	Tax Compliance	09-ManageFinancialResources/9.9-ManageTaxes/9.9.2-ProcessTaxes/10935-MonitorTaxCompliance.mdx
9.9.2.7	10936	Address tax inquiries	Address	Tax Inquiries	09-ManageFinancialResources/9.9-ManageTaxes/9.9.2-ProcessTaxes/10936-AddressTaxInquiries.mdx
9.10	10737	Manage international funds/consolidation	Manage	International Funds/consolidation	09-ManageFinancialResources/9.10-ManageInternationalFundsConsolidation/index.mdx
9.10.1	10767	Monitor international rates	Monitor	International Rates	09-ManageFinancialResources/9.10-ManageInternationalFundsConsolidation/9.10.1-MonitorInternationalRates/10767-MonitorInternationalRates.mdx
9.10.2	10768	Manage transactions	Manage	Transactions	09-ManageFinancialResources/9.10-ManageInternationalFundsConsolidation/9.10.2-ManageTransactions/10768-ManageTransactions.mdx
9.10.3	10769	Monitor currency exposure/hedge currency	Monitor	Currency Exposure/hedge Currency	09-ManageFinancialResources/9.10-ManageInternationalFundsConsolidation/9.10.3-MonitorCurrencyExposureHedgeCurrency/10769-MonitorCurrencyExposureHedgeCurrency.mdx
9.10.4	10770	Report results	Report	Results	09-ManageFinancialResources/9.10-ManageInternationalFundsConsolidation/9.10.4-ReportResults/10770-ReportResults.mdx
9.11	17059	Perform global trade services	Perform	Global Trade Services	09-ManageFinancialResources/9.11-PerformGlobalTradeServices/index.mdx
9.11.1	14090	Screen sanctioned party list	Screen	Sanctioned Party List	09-ManageFinancialResources/9.11-PerformGlobalTradeServices/9.11.1-ScreenSanctionedPartyList/14090-ScreenSanctionedPartyList.mdx
9.11.2	14091	Control exports and imports	Control	Exports And Imports	09-ManageFinancialResources/9.11-PerformGlobalTradeServices/9.11.2-ControlExportsAndImports/14091-ControlExportsAndImports.mdx
9.11.3	14092	Classify products	Classify	Products	09-ManageFinancialResources/9.11-PerformGlobalTradeServices/9.11.3-ClassifyProducts/14092-ClassifyProducts.mdx
9.11.4	19593	Perform currency conversion	Perform	Currency Conversion	09-ManageFinancialResources/9.11-PerformGlobalTradeServices/9.11.4-PerformCurrencyConversion/19593-PerformCurrencyConversion.mdx
9.11.5	14093	Calculate duty	Calculate	Duty	09-ManageFinancialResources/9.11-PerformGlobalTradeServices/9.11.5-CalculateDuty/14093-CalculateDuty.mdx
9.11.6	14094	Communicate with customs	Communicate	With Customs	09-ManageFinancialResources/9.11-PerformGlobalTradeServices/9.11.6-CommunicateWithCustoms/14094-CommunicateWithCustoms.mdx
9.11.7	14095	Document trade	Document	Trade	09-ManageFinancialResources/9.11-PerformGlobalTradeServices/9.11.7-DocumentTrade/14095-DocumentTrade.mdx
9.11.8	14096	Process trade preferences	Process	Trade Preferences	09-ManageFinancialResources/9.11-PerformGlobalTradeServices/9.11.8-ProcessTradePreferences/14096-ProcessTradePreferences.mdx
9.11.9	14097	Handle restitution	Handle	Restitution	09-ManageFinancialResources/9.11-PerformGlobalTradeServices/9.11.9-HandleRestitution/14097-HandleRestitution.mdx
9.11.10	14098	Prepare letter of credit	Prepare	Letter Of Credit	09-ManageFinancialResources/9.11-PerformGlobalTradeServices/9.11.10-PrepareLetterOfCredit/14098-PrepareLetterOfCredit.mdx
